Date Uploaded,Date Published,Published Page,Content Bucket,Published Link,Content,Status
Aug 12, 2025 17:46,-,Videogram,Situationship_ap,,"Situationship: Not A Relationship",scheduled
Aug 12, 2025 17:46,-,Videogram,ap,,"Insaaniyat Zaruri Hai",scheduled
Aug 12, 2025 17:46,-,Videogram,Sumesh Old_ap,,"Pati Ke Dost Pe Mari Line",scheduled
Aug 12, 2025 17:46,-,Videogram,Sushant Maggu_ap,,"Policeman On Duty Saw His Wife With Another Man",scheduled
Aug 12, 2025 17:46,-,Videogram,new_exclusivers_sumesh_ap,,"Padhai Hamesha Kaam Aati Hai",scheduled
Aug 12, 2025 17:46,-,Videogram,Sumesh Rev. Share_ap,,"Ladki Ko Bhagana Pada Bhari",scheduled
Aug 12, 2025 17:46,-,Videogram,Sactik New_ap,,"2 Lakh Ki Phone Lead",scheduled
Aug 12, 2025 17:46,-,Videogram,Rev share_ap,,"Sauteli Behen Ko Banaya Biwi",scheduled
Aug 12, 2025 17:46,-,Videogram,Bus Video_ap,,"Bus Mein Ladki Ki Galat Tareeke Se Li Talashi",scheduled
Aug 12, 2025 17:46,-,Videogram,ap,,"Daughter Visits a 5-Star Hotel for the First Time",scheduled
Aug 12, 2025 17:46,-,Videogram,Sumesh New_ap,,"Ameer Ke Liye Ghar Ehsaan, Gareeb Ke Liye Bas Ek Armaan",scheduled
Aug 12, 2025 17:46,-,Videogram,Rev share_ap,,"Bus Conductor Became An IPS Officer",scheduled
Aug 12, 2025 17:46,-,Videogram,Sumesh Rev. Share_ap,,"Bete Ne Kiya Maa Ko Pehchane Se Inkaar",scheduled
Aug 12, 2025 17:46,-,Videogram,Sushant Maggu_ap,,"Karwachauth Par Patni Ne Pakda Pati Ka Affair",scheduled
Aug 12, 2025 17:46,-,Videogram,Sactik New_ap,,"Aphahich Saas Ke Samne Kiya Bahu Ne Romance",scheduled
Aug 12, 2025 17:46,-,Videogram,Old Library_ap,,"5 Lakh Ke Lunch Box Ki Hera Pheri",scheduled
Aug 12, 2025 17:46,-,Videogram,Sactik New_ap,,"Maa Hai Na Samaj Jayegi",scheduled
Aug 12, 2025 17:46,-,Videogram,Sumesh new_ap,,"10 Lakh Ka Matka",scheduled
Aug 12, 2025 17:46,-,Videogram,Sushant Maggu_ap,,"Patni Ke Samne Ki Pati Ne Dusri Shaadi",scheduled
Aug 12, 2025 17:46,-,Videogram,Sumesh Old_ap,,"Pagal Bhikhari Nikla Purana Aashiq",scheduled
Aug 12, 2025 17:46,-,Videogram,Sumesh Old_ap,,"Anjaan Aurat Nikli Pati Ki Lifeline",scheduled
Aug 12, 2025 17:46,-,Videogram,Rev share_ap,,"Pati Ke Samne Awara Ladke Ko Banaya Humsafar",scheduled
Aug 12, 2025 17:46,-,Videogram,ap,,"Ladke Ke Galat Karne Par Di Ladki Ne Dua",scheduled
Aug 12, 2025 17:46,-,Videogram,Sactik New_ap,,"IAS Bankar Biwi Ne Choda Pati Ka Sath",scheduled
Aug 12, 2025 17:46,-,Videogram,Sushant Maggu_ap,,"Boy Teased College Girl In Moving Bus",scheduled
Aug 12, 2025 17:46,-,Videogram,ap,,"Ghar Ke Malik Ko Naukrani Ne Kyu Mara?",scheduled
Aug 12, 2025 17:46,-,Videogram,ap,,"Ladki Ke Muh Par Feka Jhutha Pani",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Best Oreo Dessert Recipe",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Breadpakoda wobhi healthy",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Trendy Ramen noodles recipe",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,original,,"Guess Is this a pasta or noddles?",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Making tomato powder at home | explained step by step",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Tasty and Healthy dessert for kids",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Make Healthy Pizza at home | Full Recipe",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Guess the final dish in the comment section",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Protein rick dry fruits cake for gym lovers | Full Recipe",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Bring Cafe at your home by making this chessy sandwich",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,original,,"Guess what im having today",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Full Recipe of Strawberry bread pudding",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Make this sweet dosa for your sweet husband",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Delicious Pasta Recipe",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Best Recipe for your kids lunchbox",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Make this beautiful cake flowerpot at your home",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Have you ever tried Mousse?",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,original,,"Kabhi Kabhi bahar saibhi khaa lena chiye",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Make this healthy carrot cake for your kids",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Moist Chocolate cake recipe",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Dominos jesa chocolate lava cake banaye gharpai",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Ab gharpai hi banaye Potato Twister",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Guess what im making with onion today",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Shaadi jese gulab jamun banaye ab gharpai",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,original,,"Guess what im having today",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Apne gym walle bacho kai liye banaye potato salad",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Making Chicken Lolipop at home",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Guess what dish im making today",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Try something new make kurkure bhindi with me",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Come and make a healthy cake with me | Cake Recipe",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,new_nonexcusivers_ttk,,"Make Homemade ChocoPie for your kids",scheduled
Aug 11, 2025 16:06,-,पेट Pooja,original,,"Do you like Donuts?",scheduled